t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM;status
24;24;24;24.00;42;42;44;42.67;107.78;255;MAX
24;24;24;24.00;42;42;44;42.67;110.57;255;MAX
24;24;24;24.00;42;42;44;42.67;113.36;255;MAX
24;24;24;24.00;42;42;44;42.67;116.15;255;MAX
24;24;24;24.00;42;42;44;42.67;118.93;255;MAX
24;24;24;24.00;42;42;44;42.67;121.72;255;MAX
24;24;24;24.00;42;42;44;42.67;124.51;255;MAX
24;24;24;24.00;42;42;44;42.67;127.29;255;MAX
24;24;24;24.00;42;42;44;42.67;130.08;255;MAX
24;24;24;24.00;42;42;44;42.67;132.87;255;MAX
24;24;24;24.00;42;42;44;42.67;135.65;255;MAX
24;24;24;24.00;42;42;44;42.67;138.44;255;MAX
24;24;24;24.00;42;42;44;42.67;141.23;255;MAX
24;24;24;24.00;42;42;44;42.67;144.01;255;MAX
24;24;24;24.00;42;42;43;42.33;146.80;255;MAX
24;25;25;24.67;42;42;43;42.33;146.17;255;MAX
24;25;25;24.67;42;42;43;42.33;148.86;255;MAX
25;25;25;25.00;42;42;43;42.33;149.85;255;MAX
25;25;25;25.00;42;42;42;42.00;152.51;255;MAX
25;25;26;25.33;42;42;42;42.00;153.45;255;MAX
25;25;26;25.33;42;42;42;42.00;156.06;255;MAX
25;25;26;25.33;42;42;41;41.67;158.67;255;MAX
25;26;26;25.67;42;42;41;41.67;159.57;255;MAX
26;26;27;26.33;42;42;41;41.67;158.71;255;MAX
26;26;27;26.33;42;42;40;41.33;161.19;255;MAX
26;26;27;26.33;41;42;40;41.00;163.67;255;MAX
26;26;28;26.67;41;41;38;40.00;164.43;255;MAX
26;27;28;27.00;41;41;38;40.00;165.16;255;MAX
27;27;28;27.33;41;41;38;40.00;165.83;255;MAX
27;27;28;27.33;41;41;38;40.00;168.18;255;MAX
27;27;28;27.33;40;41;37;39.33;170.52;255;MAX
27;27;29;27.67;40;40;37;39.00;171.16;255;MAX
28;28;29;28.33;39;39;37;38.33;170.04;255;MAX
28;28;29;28.33;38;39;36;37.67;172.25;255;MAX
28;28;30;28.67;38;39;35;37.33;172.75;255;MAX
28;28;30;28.67;38;38;35;37.00;174.92;255;MAX
28;28;30;28.67;38;38;34;36.67;177.08;255;MAX
28;28;30;28.67;38;38;34;36.67;179.25;255;MAX
29;28;31;29.33;38;38;33;36.33;178.00;255;MAX
29;29;31;29.67;37;38;33;36.00;178.36;255;MAX
29;29;31;29.67;37;38;33;36.00;180.40;255;MAX
29;29;31;29.67;37;38;32;35.67;182.43;255;MAX
30;29;32;30.33;36;37;32;35.00;181.05;255;MAX
30;30;32;30.67;36;36;32;34.67;181.28;255;MAX
30;30;32;30.67;35;36;32;34.33;183.19;255;MAX
30;30;33;31.00;35;36;30;33.67;183.38;255;MAX
31;30;33;31.33;35;36;30;33.67;183.52;255;MAX
31;30;33;31.33;34;35;30;33.00;185.34;255;MAX
31;31;33;31.67;34;35;30;33.00;185.44;255;MAX
31;31;34;32.00;34;35;29;32.67;185.50;255;MAX
32;31;34;32.33;34;35;29;32.67;185.51;255;MAX
32;31;34;32.33;33;34;29;32.00;187.19;255;MAX
32;31;34;32.33;33;34;28;31.67;188.88;255;MAX
32;32;34;32.67;32;34;28;31.33;188.85;255;MAX
32;32;35;33.00;32;34;27;31.00;188.77;255;MAX
33;32;35;33.33;31;33;26;30.00;188.65;255;MAX
33;32;35;33.33;31;33;26;30.00;190.20;255;MAX
33;32;35;33.33;31;33;26;30.00;191.75;255;MAX
