test;Kp;Ki;t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
26.00;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.67;;;;;;;;;;;;
25.33;;;;;;;;;;;;
25.33;;;;;;;;;;;;
25.33;;;;;;;;;;;;
25.33;;;;;;;;;;;;
25.33;;;;;;;;;;;;
25.00;;;;;;;;;;;;
25.00;;;;;;;;;;;;
25.00;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.67;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.33;;;;;;;;;;;;
24.00;;;;;;;;;;;;
24.00;;;;;;;;;;;;
-2;25.00;0.12;24;24;24;24.00;44;44;47;45.00;542.97;255
-2;25.00;0.12;24;24;24;24.00;44;44;47;45.00;533.99;255
-2;25.00;0.12;24;24;24;24.00;44;44;48;45.33;533.99;255
-2;25.00;0.12;24;24;24;24.00;44;44;48;45.33;533.99;255
-2;25.00;0.12;24;24;24;24.00;44;44;48;45.33;533.99;255
-2;25.00;0.12;24;24;24;24.00;44;44;48;45.33;533.99;255
-2;25.00;0.12;24;24;24;24.00;44;44;48;45.33;533.99;255
-2;25.00;0.12;24;24;24;24.00;44;44;48;45.33;533.99;255
-2;25.00;0.12;24;24;24;24.00;44;44;48;45.33;533.99;255
